facility_code,facility_name,state,total_volume,betweenness_centrality,pagerank,clustering_coefficient,in_degree,out_degree,weighted_in_degree,weighted_out_degree,avg_out_delay,median_out_delay,pct_delayed_out,avg_in_delay,pct_delayed_in,norm_betweenness,norm_delay,norm_volume,bottleneck_score,bottleneck_rank,outgoing_breach_impact,incoming_breach_impact,total_breach_impact,sla_contribution_pct
IND000000AFT,Mumbai_Sanpada_I (Maharashtra),Maharashtra,256,0.004846,0.001598,0.0714,5,8,172,84,2.435,2.0,0.786,3.685,0.977,0.02199138678247768,0.786,0.12814070351758794,0.3594396270900197,1141,66.0,168.0,234.0,1.014040561622465
IND000000ACA,Ludhiana_MilrGanj_HB (Punjab),Punjab,262,0.011641,0.003867,0.1167,13,9,134,128,2.568,2.143,0.898,1.914,0.799,0.052827431600252314,0.898,0.13115577889447236,0.4143949631484174,48,115.0,107.0,222.0,0.9620384815392615
IND110044AAB,Del_Okhla_PC (Delhi),Delhi,222,0.002449,0.000424,0.3929,2,6,50,172,3.857,2.586,0.953,3.637,0.76,0.011113682672366456,0.953,0.11105527638190955,0.41785068771628275,39,164.0,38.0,202.0,0.875368348067256
IND302014AAA,Jaipur_Hub (Rajasthan),Rajasthan,192,0.043412,0.002902,0.0667,10,8,96,96,2.899,2.339,0.958,2.515,0.958,0.19700579508892307,0.958,0.09597989949748743,0.47109570837592313,11,92.0,92.0,184.0,0.7973652279424511
IND600032AAB,Chennai_Hub (Tamil Nadu),Tamil Nadu,198,0.0,0.0017,0.5,3,4,75,123,2.319,2.091,0.846,3.28,0.987,0.0,0.846,0.09899497487437187,0.3680984924623116,1111,104.0,74.0,178.0,0.7713641879008494
IND400072AAD,Mumbai_Chndivli_PC (Maharashtra),Maharashtra,184,0.000745,0.000448,0.0,3,1,85,99,6.094,3.0,0.96,3.186,0.953,0.003380846709233569,0.96,0.09195979899497488,0.4126021937112625,53,95.0,81.0,176.0,0.7626971745536488
IND781018AAB,Guwahati_Hub (Assam),Assam,180,0.044438,0.00455,0.0316,17,15,90,90,2.514,1.689,0.856,4.024,0.978,0.20166183364418971,0.856,0.0899497487437186,0.4298834747163725,24,77.0,88.0,165.0,0.7150286011440458
IND395023AAA,Surat_HUB (Gujarat),Gujarat,174,0.035558,0.001724,0.1636,8,8,81,93,2.825,2.0,0.957,2.319,0.889,0.16136395608983523,0.957,0.08693467336683416,0.4572895888370008,15,89.0,72.0,161.0,0.6976945744496447
IND751002AAB,Bhubaneshwar_Hub (Orissa),Orissa,164,0.021228,0.003082,0.1083,13,6,85,79,5.181,2.5,0.962,3.692,0.988,0.09633370999142309,0.962,0.08190954773869347,0.438272977319035,19,76.0,84.0,160.0,0.6933610677760443
IND302014AAB,Jaipur_Central_I_7 (Rajasthan),Rajasthan,216,0.000103,0.003462,0.0381,9,12,66,150,3.256,1.652,0.66,4.005,0.879,0.0004674190752363189,0.66,0.10804020100502512,0.29655228602407846,1308,99.0,58.0,157.0,0.6803605477552436
IND400015AAA,Mumbai_CottonGreen_DPC (Maharashtra),Maharashtra,147,0.000404,0.001141,0.3333,3,2,110,37,3.556,2.75,1.0,4.246,0.973,0.0018333719067521635,1.0,0.07336683417085427,0.422560061823282,33,37.0,107.0,144.0,0.62402496099844
IND683511AAA,Aluva_Peedika_H (Kerala),Kerala,175,0.022769,0.002892,0.0294,13,7,89,86,1.929,1.5,0.733,1.989,0.876,0.10332684392287132,0.733,0.08743718592964825,0.35042920895575586,1174,63.0,78.0,141.0,0.6110244409776391
IND834002AAB,Ranchi_Hub (Jharkhand),Jharkhand,146,0.012996,0.001542,0.1556,5,7,66,80,3.138,3.143,0.988,2.847,0.894,0.05897648836671069,0.988,0.0728643216080402,0.43475224299242526,22,79.0,59.0,138.0,0.5980239209568383
IND421302AAR,Mumbai_East_I_21 (Maharashtra),Maharashtra,134,0.001629,0.001131,0.0,5,4,75,59,4.38,3.067,0.949,3.987,1.0,0.007392482267572461,0.949,0.06683417085427136,0.40186799593655315,662,56.0,75.0,131.0,0.5676893742416363
IND518002AAA,Kurnool_AbbasNgr_I (Andhra Pradesh),Andhra Pradesh,140,0.010052,0.002552,0.1212,10,8,66,74,2.307,1.707,0.919,2.91,0.955,0.04561647130364541,0.919,0.06984924623115578,0.4022397152604404,617,68.0,63.0,131.0,0.5676893742416363
IND580028AAA,Hubli_Adargchi_IP (Karnataka),Karnataka,145,0.013539,0.002832,0.0989,9,8,67,78,3.802,2.124,0.962,2.439,0.821,0.06144064912256818,0.962,0.07236180904522613,0.4249407374503383,31,75.0,55.0,130.0,0.5633558675680361
IND560043AAC,HBR Layout PC (Karnataka),Karnataka,212,0.000809,0.001224,0.3,4,3,133,79,2.175,1.529,0.797,1.527,0.504,0.003671281862778466,0.797,0.10603015075376884,0.3517104297849642,1168,63.0,67.0,130.0,0.5633558675680361
IND521225AAB,Vijayawada_Rynapadu_H (Andhra Pradesh),Andhra Pradesh,132,0.011217,0.002245,0.1026,8,8,61,71,3.268,2.095,1.0,3.188,0.951,0.05090329870801737,1.0,0.06582914572864322,0.4350197333309982,21,71.0,58.0,129.0,0.5590223608944358
IND560058AAB,Bengaluru_Peenya_IP (Karnataka),Karnataka,175,0.0,0.001146,0.8333,3,3,95,80,2.761,1.735,0.838,2.005,0.642,0.0,0.838,0.08743718592964825,0.36143115577889445,1137,67.0,61.0,128.0,0.5546888542208356
IND854326AAB,Purnia_Central_H_2 (Bihar),Bihar,132,0.018995,0.001891,0.1538,8,8,62,70,3.843,2.163,1.0,3.645,0.935,0.08620024596227066,1.0,0.06582914572864322,0.4456088175072742,17,70.0,58.0,128.0,0.5546888542208356
IND144001AAB,Jalandhar_DPC (Punjab),Punjab,134,0.00363,0.002646,0.2667,5,5,76,58,2.759,1.89,0.931,2.581,0.934,0.016473118865124637,0.931,0.06683417085427136,0.39739218691581885,980,54.0,71.0,125.0,0.5416883342000346
IND585104AAA,Gulbarga_Nehrugnj_I (Karnataka),Karnataka,121,0.006447,0.001883,0.0,5,5,61,60,2.81,2.143,1.0,5.711,1.0,0.02925680367037425,1.0,0.06030150753768844,0.4268674933624188,27,60.0,61.0,121.0,0.5243543075056336
IND530012AAA,Visakhapatnam_Gajuwaka_IP (Andhra Pradesh),Andhra Pradesh,138,0.020332,0.002711,0.0549,10,11,67,71,1.955,1.5,0.676,4.369,1.0,0.09226761784179452,0.676,0.06884422110552764,0.3187335516841967,1271,48.0,67.0,115.0,0.4983532674640319
IND641062AAD,Coimbatore_Karayam_H (Tamil Nadu),Tamil Nadu,135,9.3e-05,0.00324,0.0606,7,8,71,64,3.299,2.0,0.844,3.749,0.859,0.0004220385824949287,0.844,0.06733668341708543,0.3579276165998741,1149,54.0,61.0,115.0,0.4983532674640319
IND532001AAB,Srikakulam_Kuslpram_I (Andhra Pradesh),Andhra Pradesh,119,0.007245,0.002176,0.1786,5,4,55,64,3.363,2.0,0.984,2.247,0.891,0.03287816699113719,0.984,0.0592964824120603,0.4212523948209592,36,63.0,49.0,112.0,0.4853527474432311
IND515004AAA,Anantapur_KamaStrt_I (Andhra Pradesh),Andhra Pradesh,117,0.013054,0.002007,0.0889,6,6,58,59,2.604,1.667,0.898,2.299,0.983,0.05923969522461075,0.898,0.05829145728643216,0.3944593457533129,989,53.0,57.0,110.0,0.47668573409603054
IND305001AAC,Ajmer_FoySGRRD_I (Rajasthan),Rajasthan,112,0.010041,0.002223,0.1071,5,4,67,45,2.572,2.25,0.978,1.984,0.955,0.04556655276162989,0.978,0.05577889447236181,0.42160363417019747,35,44.0,64.0,108.0,0.46801872074883
IND560060AAB,Bengaluru_Kengeri_IP (Karnataka),Karnataka,133,0.0,0.001313,1.0,3,2,99,34,2.558,1.9,1.0,1.952,0.737,0.0,1.0,0.06633165829145729,0.4198994974874372,38,34.0,73.0,107.0,0.46368521407522967
IND201301AAF,Noida_Sec 02_DPC (Uttar Pradesh),Uttar Pradesh,120,0.001635,0.001618,0.1389,8,3,88,32,2.169,1.646,0.875,3.645,0.875,0.007419710563217295,0.875,0.05979899497487437,0.37016561166142753,1099,28.0,77.0,105.0,0.45501820072802907
IND713205AAB,Durgapur_Central_I_1 (West Bengal),West Bengal,104,0.014429,0.002214,0.0549,7,11,59,45,4.464,3.167,1.0,2.832,1.0,0.0654795129765519,1.0,0.05175879396984925,0.43517149208392036,20,45.0,59.0,104.0,0.45068469405442885
IND000000ACT,Delhi_Gateway_HB (Delhi),Delhi,160,0.0,0.000116,1.0,0,3,0,160,2.453,1.4,0.65,0.0,0.0,0.0,0.65,0.07989949748743719,0.28396984924623114,1319,104.0,0.0,104.0,0.45068469405442885
