facility_code,facility_name,state,total_volume,betweenness_centrality,pagerank,clustering_coefficient,in_degree,out_degree,weighted_in_degree,weighted_out_degree,avg_out_delay,median_out_delay,pct_delayed_out,avg_in_delay,pct_delayed_in,norm_betweenness,norm_delay,norm_volume,bottleneck_score,bottleneck_rank,outgoing_breach_impact,incoming_breach_impact,total_breach_impact,sla_contribution_pct
IND854311AAA,Araria_Wardn13_D (Bihar),Bihar,34,0.002024,0.000615,0.6667,2,3,22,12,3.062,1.917,1.0,3.197,1.0,0.009185011730857374,1.0,0.016582914572864323,0.4077303778911165,114,12.0,22.0,34.0,0.14733922690240941
IND509358AAA,Kadthal_GndhiDPP_D (Telangana),Telangana,34,0.001215,0.000607,0.3333,1,2,17,17,1.777,1.778,1.0,3.026,1.0,0.005513729868078908,1.0,0.016582914572864323,0.406628993332283,150,17.0,17.0,34.0,0.14733922690240941
IND312001AAA,Chittaurgarh_DC (Rajasthan),Rajasthan,41,0.002422,0.000794,0.1667,2,2,22,19,2.019,1.429,0.737,1.812,0.909,0.010991155341964704,0.737,0.020100502512562814,0.30412749735635825,1289,14.0,20.0,34.0,0.14733922690240941
IND627756AAA,Sankaran_Kovil_D (Tamil Nadu),Tamil Nadu,34,2e-05,0.001976,0.0,1,1,17,17,2.027,2.0,1.0,1.509,1.0,9.076098548278037e-05,1.0,0.016582914572864323,0.40500210266750414,283,17.0,17.0,34.0,0.14733922690240941
IND852201AAA,Saharsa_Gangjala_D (Bihar),Bihar,34,1e-06,0.000557,0.6667,3,3,15,19,4.281,4.0,1.0,4.287,1.0,4.538049274139019e-06,1.0,0.016582914572864323,0.40497623578664155,286,19.0,15.0,34.0,0.14733922690240941
IND626123AAA,Sivakasi_Msstreet_DC (Tamil Nadu),Tamil Nadu,34,2.7e-05,0.002171,0.0,1,1,17,17,1.509,1.5,1.0,2.428,1.0,0.0001225273304017535,1.0,0.016582914572864323,0.40501163257097983,282,17.0,17.0,34.0,0.14733922690240941
IND140118AAA,AnandprShb_PnjPiara_D (Punjab),Punjab,36,0.000403,0.000443,0.0,1,1,19,17,3.397,2.667,1.0,1.559,0.895,0.0018288338574780243,1.0,0.017587939698492462,0.40582503206679116,210,17.0,17.0,34.0,0.14733922690240941
IND642001AAA,Pollachi_Venkatsa_DC (Tamil Nadu),Tamil Nadu,36,6e-06,0.000914,1.0,2,2,18,18,1.842,1.69,1.0,2.07,0.889,2.7228295644834112e-05,1.0,0.017587939698492462,0.4052845503982412,251,18.0,16.0,34.0,0.14733922690240941
IND713130AAA,Katwa_BSarani_D (West Bengal),West Bengal,34,0.00081,0.000706,0.3333,2,2,16,18,3.064,1.732,1.0,6.057,1.0,0.0036758199120526048,1.0,0.016582914572864323,0.40607762034547507,187,18.0,16.0,34.0,0.14733922690240941
IND711303AAA,Bagnan_Harop_D (West Bengal),West Bengal,35,0.00163,0.000337,1.0,1,1,18,17,1.941,2.0,0.882,5.258,1.0,0.0073970203168466,0.882,0.017085427135678392,0.3601447342357575,1139,15.0,18.0,33.0,0.14300572022880914
IND742225AAA,Ragunthgnj_GopalDPP_D (West Bengal),West Bengal,33,0.000809,0.000299,0.3333,2,1,17,16,4.718,4.0,1.0,5.665,1.0,0.003671281862778466,1.0,0.016080402010050253,0.4059255051618486,199,16.0,17.0,33.0,0.14300572022880914
IND423701AAB,Vaijiapur_YeolaRD_D (Maharashtra),Maharashtra,34,0.002011,0.000618,0.8333,3,1,16,18,3.855,3.0,1.0,2.096,0.938,0.009126017090293568,1.0,0.016582914572864323,0.40771267949894735,115,18.0,15.0,33.0,0.14300572022880914
IND532440AAA,Palakonda_VadaiDPP_D (Andhra Pradesh),Andhra Pradesh,34,0.001611,0.000711,1.0,1,1,17,17,1.668,1.583,1.0,1.596,0.941,0.0073107973806379595,1.0,0.016582914572864323,0.4071681135860507,130,17.0,16.0,33.0,0.14300572022880914
IND713128AAB,Guskhara_Itachnda_D (West Bengal),West Bengal,33,0.001213,0.000321,0.3333,1,2,17,16,3.298,2.844,1.0,4.453,1.0,0.00550465376953063,1.0,0.016080402010050253,0.4064755167338743,160,16.0,17.0,33.0,0.14300572022880914
IND628204AAA,Tirchchndr_Shnmgprm_D (Tamil Nadu),Tamil Nadu,34,6e-06,0.000561,0.0,1,1,17,17,1.627,1.429,0.941,1.566,1.0,2.7228295644834112e-05,0.941,0.016582914572864323,0.38138304286055275,1030,16.0,17.0,33.0,0.14300572022880914
IND742223AAA,Jangipur_Central_D_1 (West Bengal),West Bengal,33,0.001213,0.000369,0.0,1,1,16,17,2.48,2.333,1.0,4.718,1.0,0.00550465376953063,1.0,0.016080402010050253,0.4064755167338743,159,17.0,16.0,33.0,0.14300572022880914
IND244001AAA,Moradabad_DC (Uttar Pradesh),Uttar Pradesh,35,0.003619,0.000541,1.0,1,1,19,16,2.552,2.016,0.875,8.701,1.0,0.016423200323109108,0.875,0.017085427135678392,0.36005258823763625,1140,14.0,19.0,33.0,0.14300572022880914
IND000000AAL,Pune_PC (Maharashtra),Maharashtra,35,0.0,0.000381,0.0,1,1,17,18,4.05,2.744,1.0,2.826,0.882,0.0,1.0,0.017085427135678392,0.4051256281407035,275,18.0,15.0,33.0,0.14300572022880914
IND600016AAC,Chennai_Perungudi_DPC (Tamil Nadu),Tamil Nadu,35,0.001211,0.001443,0.0,2,2,23,12,2.613,1.792,0.917,3.538,0.957,0.005495577670982352,0.917,0.017085427135678392,0.3735743014419982,1081,11.0,22.0,33.0,0.14300572022880914
IND582209AAA,Rona_GadagRD_D (Karnataka),Karnataka,33,0.0,0.000638,1.0,1,1,17,16,2.007,1.809,1.0,1.601,1.0,0.0,1.0,0.016080402010050253,0.4048241206030151,306,16.0,17.0,33.0,0.14300572022880914
IND509301AAA,Jadcherla_Badeplly_D (Telangana),Telangana,38,0.000806,0.000652,0.3333,1,2,19,19,2.343,1.4,0.737,1.972,1.0,0.0036576677149560487,0.737,0.0185929648241206,0.301475189761723,1296,14.0,19.0,33.0,0.14300572022880914
IND731237AAB,Morgram_Kntgorya_D (West Bengal),West Bengal,33,0.001619,0.000785,0.0,2,1,18,15,3.916,3.667,1.0,3.691,1.0,0.007347101774831071,1.0,0.016080402010050253,0.4070282511354644,135,15.0,18.0,33.0,0.14300572022880914
IND591123AAC,Ramdurg_GndhiNGR_D (Karnataka),Karnataka,37,0.001215,0.000672,0.0,1,1,18,19,1.697,1.5,0.895,4.888,0.889,0.005513729868078908,0.895,0.018090452261306532,0.3650812546388157,1125,17.0,16.0,33.0,0.14300572022880914
IND473226AAA,Guna_Raghogrh_D (Madhya Pradesh),Madhya Pradesh,37,0.000808,0.00043,0.3333,1,2,17,20,2.409,1.438,0.8,7.654,1.0,0.003666743813504327,0.8,0.018090452261306532,0.3265271588224433,1243,16.0,17.0,33.0,0.14300572022880914
IND506143AAA,Ghanpur_Palakrty_D (Telangana),Telangana,33,0.003605,0.000666,0.0,1,1,17,16,2.556,2.156,1.0,1.845,1.0,0.016359667633271163,1.0,0.016080402010050253,0.40973202089299643,76,16.0,17.0,33.0,0.14300572022880914
IND515201AAA,Hindupur_Parigi_D (Andhra Pradesh),Andhra Pradesh,34,0.00081,0.000792,0.0,1,2,15,19,4.76,4.833,1.0,1.692,0.933,0.0036758199120526048,1.0,0.016582914572864323,0.40607762034547507,186,19.0,14.0,33.0,0.14300572022880914
IND175001AAA,Mandi_PlaceCol_D (Himachal Pradesh),Himachal Pradesh,33,0.002418,0.000749,0.0,1,1,16,17,1.655,1.667,1.0,3.071,1.0,0.010973003144868147,1.0,0.016080402010050253,0.4081160215464755,99,17.0,16.0,33.0,0.14300572022880914
IND577598AAB,Madikeri_MuthpTmp_D (Karnataka),Karnataka,33,0.0,0.000606,1.0,1,1,16,17,2.845,2.667,1.0,2.39,1.0,0.0,1.0,0.016080402010050253,0.4048241206030151,307,17.0,16.0,33.0,0.14300572022880914
IND136118AAA,Kurukshetra_DC (Haryana),Haryana,39,0.001218,0.000496,0.0,1,1,17,22,1.462,1.417,0.727,3.188,1.0,0.0055273440159013245,0.727,0.019095477386934675,0.2981868464208508,1305,16.0,17.0,33.0,0.14300572022880914
IND501401AAC,Medchal_MROoffce_D (Telangana),Telangana,33,0.000404,0.000356,0.3333,3,1,19,14,8.103,8.904,1.0,3.449,1.0,0.0018333719067521635,1.0,0.016080402010050253,0.40537413217504076,245,14.0,19.0,33.0,0.14300572022880914
IND847404AAB,Jhanjharpur_Nagar_D (Bihar),Bihar,38,0.000806,0.000635,0.6667,2,1,20,18,8.314,8.444,0.944,2.837,0.8,0.0036576677149560487,0.944,0.0185929648241206,0.384275189761723,1018,17.0,16.0,33.0,0.14300572022880914
IND246149AAA,Kotdwara_Nzbadrd_D (Uttarakhand),Uttarakhand,33,0.0,0.000599,0.0,1,1,18,15,2.094,1.744,1.0,3.227,1.0,0.0,1.0,0.016080402010050253,0.4048241206030151,304,15.0,18.0,33.0,0.14300572022880914
IND263401AAA,Kashipur_BajprDPP_D (Uttarakhand),Uttarakhand,34,0.000806,0.00076,1.0,3,2,18,16,1.696,1.483,1.0,2.118,0.944,0.0036576677149560487,1.0,0.016582914572864323,0.4060721746863461,188,16.0,17.0,33.0,0.14300572022880914
IND110095AAB,Delhi_Jhilmil_L (Delhi),Delhi,37,0.0,0.000672,0.0,1,1,36,1,0.917,0.917,0.0,1.866,0.917,0.0,0.0,0.018090452261306532,0.005427135678391959,1489,0.0,33.0,33.0,0.14300572022880914
IND312605AAB,Pratapgarh_Nimachrd_D (Rajasthan),Rajasthan,33,0.002018,0.000901,0.3333,2,2,14,19,4.237,4.333,1.0,1.692,0.929,0.009157783435212539,1.0,0.016080402010050253,0.4075714556335788,121,19.0,13.0,32.0,0.1386722135552089
IND462001AAA,Bhopal_Old City (Madhya Pradesh),Madhya Pradesh,32,0.000404,0.0003,0.0,2,1,4,28,7.163,5.292,1.0,6.098,1.0,0.0018333719067521635,1.0,0.015577889447236181,0.40522337840619654,260,28.0,4.0,32.0,0.1386722135552089
IND509124AAA,JoguGadwal_ColctrOf_D (Telangana),Telangana,33,0.000405,0.000617,0.6667,2,4,17,16,2.228,1.853,1.0,2.542,0.941,0.0018379099560263024,1.0,0.016080402010050253,0.405375493589823,244,16.0,16.0,32.0,0.1386722135552089
IND500008AAC,Hyderabad_Tolichwk_I (Telangana),Telangana,33,0.000406,0.000664,0.0,1,2,19,14,5.992,2.985,0.929,1.638,1.0,0.0018424480053004415,0.929,0.016080402010050253,0.37697685500460526,1060,13.0,19.0,32.0,0.1386722135552089
IND621212AAA,Perambalur_goplpurm_D (Tamil Nadu),Tamil Nadu,34,4e-06,0.000365,0.3333,2,1,18,16,2.294,2.0,0.938,1.921,0.944,1.8152197096556075e-05,0.938,0.016582914572864323,0.38018032003098823,1038,15.0,17.0,32.0,0.1386722135552089
IND506167AAB,Jangaon_Hanmkond_D (Telangana),Telangana,32,0.003602,0.000682,0.0,1,1,16,16,5.734,5.25,1.0,2.556,1.0,0.016346053485448746,1.0,0.015577889447236181,0.4095771828798055,80,16.0,16.0,32.0,0.1386722135552089
IND335513AAA,Hanumangarh_DC (Rajasthan),Rajasthan,36,0.004839,0.001146,0.0667,3,3,20,16,1.921,1.636,1.0,2.426,0.8,0.021959620437558714,1.0,0.017587939698492462,0.41186426804081533,59,16.0,16.0,32.0,0.1386722135552089
IND509001AAA,Mahabubnagar_DC (Telangana),Telangana,36,0.00081,0.000607,0.0,1,1,17,19,2.155,2.167,1.0,1.792,0.765,0.0036758199120526048,1.0,0.017587939698492462,0.4063791278831635,169,19.0,13.0,32.0,0.1386722135552089
IND571104AAA,Koppa_BMRd_D (Karnataka),Karnataka,32,0.002017,0.000613,0.3333,1,2,15,17,2.328,1.85,1.0,2.103,1.0,0.009153245385938402,1.0,0.015577889447236181,0.40741934044995237,124,17.0,15.0,32.0,0.1386722135552089
IND845438AAA,Bettiah_BypassRd_D (Bihar),Bihar,32,0.000405,0.000543,1.0,2,1,17,15,2.787,2.143,1.0,3.096,1.0,0.0018379099560263024,1.0,0.015577889447236181,0.4052247398209788,258,15.0,17.0,32.0,0.1386722135552089
IND741165AAB,Nazirpur_Central_D_1 (West Bengal),West Bengal,33,0.000403,0.000812,0.0,1,1,18,15,3.774,4.0,0.933,3.665,1.0,0.0018288338574780243,0.933,0.016080402010050253,0.3785727707602585,1047,14.0,18.0,32.0,0.1386722135552089
IND362720AAA,Kodinar_NCplxDPP_D (Gujarat),Gujarat,33,1.6e-05,0.000824,0.0,1,1,16,17,2.38,2.167,0.941,5.944,1.0,7.26087883862243e-05,0.941,0.016080402010050253,0.38124590323953095,1031,16.0,16.0,32.0,0.1386722135552089
IND121004AAA,Faridabad_Blbgarh_DC (Haryana),Haryana,33,0.0,0.000534,0.0,1,1,23,10,3.737,3.056,1.0,1.879,0.957,0.0,1.0,0.016080402010050253,0.4048241206030151,305,10.0,22.0,32.0,0.1386722135552089
IND560064AAA,Bengaluru_NwYlhnka_DC (Karnataka),Karnataka,39,0.0,0.000629,0.0,1,0,39,0,0.0,0.0,0.0,1.997,0.821,0.0,0.0,0.019095477386934675,0.005728643216080402,1486,0.0,32.0,32.0,0.1386722135552089
IND560085AAA,Bengaluru_Banshkri_DC (Karnataka),Karnataka,60,0.0,0.000722,1.0,3,1,53,7,2.798,2.625,1.0,1.673,0.472,0.0,1.0,0.02964824120603015,0.4088944723618091,88,7.0,25.0,32.0,0.1386722135552089
IND421301AAA,Mumbai_Kalyan West _Dc (Maharashtra),Maharashtra,32,0.0,0.000393,0.0,1,1,17,15,4.152,3.75,1.0,5.414,1.0,0.0,1.0,0.015577889447236181,0.4046733668341709,321,15.0,17.0,32.0,0.1386722135552089
IND402301AAA,Mahad_Govndsgr_D (Maharashtra),Maharashtra,33,0.0,0.000768,1.0,1,1,20,13,1.867,1.636,0.923,3.013,1.0,0.0,0.923,0.016080402010050253,0.3740241206030151,1078,12.0,20.0,32.0,0.1386722135552089
IND614715AAA,Thirthurpondi_Madaprum_D (Tamil Nadu),Tamil Nadu,34,0.000405,0.000847,1.0,1,1,17,17,3.063,3.0,1.0,2.25,0.882,0.0018379099560263024,1.0,0.016582914572864323,0.4055262473586672,235,17.0,15.0,32.0,0.1386722135552089
IND380021AAA,AMD_Rakhial (Gujarat),Gujarat,32,0.0,0.000116,0.0,0,1,0,32,5.605,2.661,1.0,0.0,0.0,0.0,1.0,0.015577889447236181,0.4046733668341709,319,32.0,0.0,32.0,0.1386722135552089
IND521333AAA,Kaikaluru_Atapaka_D (Andhra Pradesh),Andhra Pradesh,32,0.0,0.000737,0.6667,2,1,18,14,3.003,2.714,1.0,1.929,1.0,0.0,1.0,0.015577889447236181,0.4046733668341709,318,14.0,18.0,32.0,0.1386722135552089
IND401209AAB,Mumbai_Vasai_CP (Maharashtra),Maharashtra,32,0.0,0.000116,0.3333,0,3,0,32,3.885,2.75,1.0,0.0,0.0,0.0,1.0,0.015577889447236181,0.4046733668341709,317,32.0,0.0,32.0,0.1386722135552089
IND742121AAB,Nowda_ArhamDPP_D (West Bengal),West Bengal,33,0.001211,0.000842,0.3333,2,2,16,17,3.177,3.0,1.0,3.765,0.938,0.005495577670982352,1.0,0.016080402010050253,0.4064727939043098,161,17.0,15.0,32.0,0.1386722135552089
IND244235AAA,Gajraula_JawaharN_D (Uttar Pradesh),Uttar Pradesh,41,0.007185,0.000586,0.0,1,1,21,20,2.899,2.0,0.95,3.018,0.619,0.03260588403468885,0.95,0.020100502512562814,0.3958119159641755,985,19.0,13.0,32.0,0.1386722135552089
IND721134AAB,Kolaghat_Central_DPP_2 (West Bengal),West Bengal,34,0.001225,0.000403,0.3333,1,2,17,17,1.752,1.5,1.0,1.941,0.882,0.005559110360820298,1.0,0.016582914572864323,0.4066426074801054,149,17.0,15.0,32.0,0.1386722135552089
IND642126AAA,Udumalpet_Artclgrd_D (Tamil Nadu),Tamil Nadu,35,0.0,0.00089,1.0,2,1,18,17,2.082,1.667,0.882,4.794,0.944,0.0,0.882,0.017085427135678392,0.3579256281407035,1150,15.0,17.0,32.0,0.1386722135552089
IND563101AAB,Kolar_Ambedkar_D (Karnataka),Karnataka,35,0.000405,0.00053,0.5,2,3,19,16,2.794,2.0,0.875,2.384,0.947,0.0018379099560263024,0.875,0.017085427135678392,0.35567700112751144,1155,14.0,18.0,32.0,0.1386722135552089
IND274001AAA,Deoria_CCRoad_D (Uttar Pradesh),Uttar Pradesh,31,0.000425,0.000927,0.0,2,2,17,14,2.322,1.938,1.0,2.349,1.0,0.0019286709415090829,1.0,0.01507537688442211,0.4051012143477794,278,14.0,17.0,31.0,0.1343387068816086
IND508248AAB,Devarakonda_DindiRD_D (Telangana),Telangana,31,0.001211,0.000689,0.3333,2,1,16,15,1.89,1.786,1.0,2.199,1.0,0.005495577670982352,1.0,0.01507537688442211,0.40617128636662136,176,15.0,16.0,31.0,0.1343387068816086
IND583227AAA,Gangavathi_PhrmPlza_D (Karnataka),Karnataka,32,0.000405,0.000648,1.0,1,2,16,16,2.939,2.375,1.0,2.205,0.938,0.0018379099560263024,1.0,0.015577889447236181,0.4052247398209788,259,16.0,15.0,31.0,0.1343387068816086
IND431708AAA,Loha_SivjiCWK_D (Maharashtra),Maharashtra,31,0.003218,0.000615,0.0,1,1,15,16,2.157,2.083,1.0,3.667,1.0,0.014603442564179362,1.0,0.01507537688442211,0.4089036458345805,87,16.0,15.0,31.0,0.1343387068816086
IND518501AAA,Nandyal_SrnvsNgr_D (Andhra Pradesh),Andhra Pradesh,33,0.001215,0.000643,1.0,1,1,18,15,2.054,1.933,0.933,1.779,0.944,0.005513729868078908,0.933,0.016080402010050253,0.37967823956343877,1042,14.0,17.0,31.0,0.1343387068816086
IND584101AAA,Raichur_LSRoad_DC (Karnataka),Karnataka,33,0.001217,0.000591,0.3333,2,3,16,17,2.564,2.25,1.0,1.83,0.875,0.005522805966627186,1.0,0.016080402010050253,0.40648096239300324,158,17.0,14.0,31.0,0.1343387068816086
IND000000ACK,Hyderabad_Chikdply_C (Telangana),Telangana,32,0.0,0.000116,0.0,0,1,0,32,4.038,3.343,0.969,0.0,0.0,0.0,0.969,0.015577889447236181,0.39227336683417086,995,31.0,0.0,31.0,0.1343387068816086
IND431514AAA,Gangakher_Busstand_D (Maharashtra),Maharashtra,32,0.003216,0.000639,0.0,1,1,16,16,2.432,2.5,0.938,2.157,1.0,0.014594366465631085,0.938,0.015577889447236181,0.3842516767738602,1019,15.0,16.0,31.0,0.1343387068816086
IND505122AAA,Jammikunta_ConduDPP_D (Telangana),Telangana,31,0.000808,0.0003,0.3333,2,1,15,16,3.929,2.7,1.0,2.428,1.0,0.003666743813504327,1.0,0.01507537688442211,0.40562263620937794,228,16.0,15.0,31.0,0.1343387068816086
IND396232AAA,Silvassa_Samrvrni_D (Dadra and Nagar Haveli),Dadra and Nagar Haveli,32,0.0,0.000561,0.0,1,1,17,15,4.46,3.75,1.0,1.693,0.941,0.0,1.0,0.015577889447236181,0.4046733668341709,320,15.0,16.0,31.0,0.1343387068816086
IND571426AAA,Krishnarajpet_MuruPost_D (Karnataka),Karnataka,33,0.002019,0.000586,0.3333,2,1,18,15,2.103,2.176,1.0,1.624,0.889,0.00916232148448668,1.0,0.016080402010050253,0.40757281704836107,120,15.0,16.0,31.0,0.1343387068816086
IND244713AAA,Kashipur_Vaishali_D (Uttarakhand),Uttarakhand,35,0.0,0.000723,1.0,3,2,18,17,2.284,2.043,1.0,2.024,0.778,0.0,1.0,0.017085427135678392,0.4051256281407035,273,17.0,14.0,31.0,0.1343387068816086
IND175018AAA,SundarNgr_Bhogpur_D (Himachal Pradesh),Himachal Pradesh,31,0.00242,0.000744,0.0,1,1,15,16,3.071,2.933,1.0,2.673,1.0,0.010982079243416425,1.0,0.01507537688442211,0.4078172368383516,111,16.0,15.0,31.0,0.1343387068816086
IND517644AAA,Sriklahsti_SDKNgr_D (Andhra Pradesh),Andhra Pradesh,31,3e-06,0.000621,0.0,1,1,16,15,2.245,2.167,1.0,2.633,1.0,1.3614147822417056e-05,1.0,0.01507537688442211,0.4045266973096734,334,15.0,16.0,31.0,0.1343387068816086
IND637211AAA,Tirchngode_Mhdhvpur_D (Tamil Nadu),Tamil Nadu,31,0.0,0.000271,1.0,1,1,15,16,3.43,3.0,1.0,2.413,0.933,0.0,1.0,0.01507537688442211,0.40452261306532666,336,16.0,14.0,30.0,0.13000520020800832
IND560064AAD,Bengaluru_Bagaluru_D (Karnataka),Karnataka,41,0.0,0.000116,0.0,0,1,0,41,2.242,1.643,0.732,0.0,0.0,0.0,0.732,0.020100502512562814,0.29883015075376884,1304,30.0,0.0,30.0,0.13000520020800832
IND785001AAA,Jorhat_RicMilRd_D (Assam),Assam,30,0.008821,0.000944,0.1333,5,3,15,15,7.44,4.5,1.0,7.554,1.0,0.040030132647180285,1.0,0.01457286432160804,0.4163808990906365,42,15.0,15.0,30.0,0.13000520020800832
IND206122AAA,Auraiya_AryaNagr_D (Uttar Pradesh),Uttar Pradesh,39,0.000405,0.000586,0.0,1,1,20,19,1.197,1.3,0.789,1.754,0.75,0.0018379099560263024,0.789,0.019095477386934675,0.32188001620288836,1256,15.0,15.0,30.0,0.13000520020800832
IND370001AAA,Bhuj_DC (Gujarat),Gujarat,30,0.000808,0.000935,0.3333,2,3,17,13,7.234,2.632,1.0,2.871,1.0,0.003666743813504327,1.0,0.01457286432160804,0.4054718824405337,236,13.0,17.0,30.0,0.13000520020800832
IND203135AAA,Jewar_SJRoad_D (Uttar Pradesh),Uttar Pradesh,32,5e-06,0.000298,0.3333,1,2,16,16,3.375,1.9,0.875,2.302,1.0,2.2690246370695093e-05,0.875,0.015577889447236181,0.3546801739080821,1157,14.0,16.0,30.0,0.13000520020800832
IND844505AAB,HazratJandaha_HajiprRD_D (Bihar),Bihar,30,0.000806,0.000619,1.0,1,1,16,14,11.819,11.779,1.0,3.173,1.0,0.0036576677149560487,1.0,0.01457286432160804,0.40546915961096924,237,14.0,16.0,30.0,0.13000520020800832
IND140001AAA,RoopNagar_ChotiHvl_DC (Punjab),Punjab,40,0.000405,0.000385,0.0,1,1,21,19,1.559,1.538,0.895,2.005,0.619,0.0018379099560263024,0.895,0.019597989949748745,0.36443076997173257,1128,17.0,13.0,30.0,0.13000520020800832
IND402107AAA,Pen_BljiMrkt_D (Maharashtra),Maharashtra,31,0.0,0.000768,1.0,1,1,13,18,4.395,3.875,1.0,1.867,0.923,0.0,1.0,0.01507537688442211,0.40452261306532666,337,18.0,12.0,30.0,0.13000520020800832
IND515301AAA,Madakasira_RTCStand_D (Andhra Pradesh),Andhra Pradesh,30,0.000405,0.000612,0.0,1,1,14,16,2.123,1.817,1.0,4.424,1.0,0.0018379099560263024,1.0,0.01457286432160804,0.40492323228329036,292,16.0,14.0,30.0,0.13000520020800832
IND423109AAA,Shirdi_SaiBansi_D (Maharashtra),Maharashtra,30,0.000404,0.000547,0.6,3,3,16,14,3.092,2.75,1.0,3.058,1.0,0.0018333719067521635,1.0,0.01457286432160804,0.4049218708685081,293,14.0,16.0,30.0,0.13000520020800832
IND174001AAA,BilaspurHP_Indsarea_D (Himachal Pradesh),Himachal Pradesh,44,0.002422,0.000739,0.0,2,1,29,15,2.673,2.519,1.0,2.148,0.517,0.010991155341964704,1.0,0.021608040201005024,0.40977975866289096,75,15.0,15.0,30.0,0.13000520020800832
IND524101AAB,Gudur_Bngisheb_D (Andhra Pradesh),Andhra Pradesh,30,3e-06,0.000652,0.0,1,1,14,16,1.996,1.784,1.0,2.041,1.0,1.3614147822417056e-05,1.0,0.01457286432160804,0.4043759435408292,349,16.0,14.0,30.0,0.13000520020800832
IND630002AAA,Karaikudi_Sbrmnprm_D (Tamil Nadu),Tamil Nadu,30,2e-06,0.000369,0.0,1,1,16,14,1.558,1.472,1.0,2.349,1.0,9.076098548278037e-06,1.0,0.01457286432160804,0.40437458212604693,350,14.0,16.0,30.0,0.13000520020800832
IND209111AAA,Pukhrayan_Arulimod_D (Uttar Pradesh),Uttar Pradesh,38,0.001617,0.000534,0.0,1,1,17,21,7.159,3.812,1.0,1.234,0.529,0.0073380256762827925,1.0,0.0185929648241206,0.40777929715012107,112,21.0,9.0,30.0,0.13000520020800832
IND583231AAA,Koppal_Banikatt_D (Karnataka),Karnataka,30,0.0,0.000633,1.0,1,1,15,15,3.297,2.8,1.0,2.934,1.0,0.0,1.0,0.01457286432160804,0.40437185929648245,351,15.0,15.0,30.0,0.13000520020800832
IND274301AAB,Kaptanganj_Subshngr_D (Uttar Pradesh),Uttar Pradesh,31,0.001223,0.000836,0.3333,3,1,15,16,2.96,2.386,1.0,2.36,0.933,0.00555003426227202,1.0,0.01507537688442211,0.40618762334400826,175,16.0,14.0,30.0,0.13000520020800832
IND248122AAB,Mussoorie_BrlwgDPP_D (Uttarakhand),Uttarakhand,31,0.000404,0.000214,0.0,1,1,16,15,2.165,2.211,1.0,2.239,0.938,0.0018333719067521635,1.0,0.01507537688442211,0.40507262463735233,281,15.0,15.0,30.0,0.13000520020800832
IND515401AAB,Gooty_StatonRd_D (Andhra Pradesh),Andhra Pradesh,35,0.0,0.000607,1.0,1,1,17,18,2.952,2.633,1.0,2.933,0.706,0.0,1.0,0.017085427135678392,0.4051256281407035,271,18.0,12.0,30.0,0.13000520020800832
IND507159AAA,Kusumnchi_SKRoad_D (Telangana),Telangana,30,0.0,0.000536,1.0,2,2,15,15,5.241,2.062,0.933,2.452,1.0,0.0,0.933,0.01457286432160804,0.37757185929648246,1056,14.0,15.0,29.0,0.12567169353440805
IND563116AAA,Bethamangala_FshryOFC_D (Karnataka),Karnataka,31,0.0,0.00073,1.0,2,1,17,14,4.455,1.9,0.929,2.657,0.941,0.0,0.929,0.01507537688442211,0.3761226130653267,1063,13.0,16.0,29.0,0.12567169353440805
IND638701AAA,Kangayam_Thvlrsrt_D (Tamil Nadu),Tamil Nadu,33,1.6e-05,0.000643,0.0,1,1,16,17,5.267,4.0,0.941,2.68,0.812,7.26087883862243e-05,0.941,0.016080402010050253,0.38124590323953095,1032,16.0,13.0,29.0,0.12567169353440805
IND561202AAB,Pavagada_PnukndRD_D (Karnataka),Karnataka,30,0.000403,0.000635,0.0,1,1,16,14,5.096,4.0,0.929,2.123,1.0,0.0018288338574780243,0.929,0.01457286432160804,0.3765205094537259,1061,13.0,16.0,29.0,0.12567169353440805
IND302020AAA,Jaipur_VarunCly_DC (Rajasthan),Rajasthan,37,0.0,0.000468,0.0,1,1,18,19,4.356,3.182,0.947,2.562,0.611,0.0,0.947,0.018090452261306532,0.384227135678392,1020,18.0,11.0,29.0,0.12567169353440805
IND516390AAA,Pulivendula_RTCStand_D (Andhra Pradesh),Andhra Pradesh,30,0.002812,0.000579,0.0,1,1,15,15,2.259,1.929,1.0,2.935,0.933,0.01276099455887892,1.0,0.01457286432160804,0.40820015766414613,96,15.0,14.0,29.0,0.12567169353440805
IND621010AAA,Thuraiyur_Mthrapuri_D (Tamil Nadu),Tamil Nadu,31,2e-06,0.000214,0.0,1,1,15,16,1.909,1.809,0.938,1.551,0.933,9.076098548278037e-06,0.938,0.01507537688442211,0.3797253358948911,1041,15.0,14.0,29.0,0.12567169353440805
IND843320AAA,Pupri_SngihiRD_D (Bihar),Bihar,29,0.001211,0.000623,0.6667,2,1,21,8,3.261,2.425,1.0,8.713,1.0,0.005495577670982352,1.0,0.01407035175879397,0.40586977882893294,205,8.0,21.0,29.0,0.12567169353440805
IND533308AAB,Mandapeta_Mainrd_D (Andhra Pradesh),Andhra Pradesh,31,0.00081,0.000559,1.0,2,2,15,16,1.75,1.742,0.938,3.581,0.933,0.0036758199120526048,0.938,0.01507537688442211,0.3808253590389424,1034,15.0,14.0,29.0,0.12567169353440805
